Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
White or of European descent,Male,United States,Online course; Self-taught,Computer science or software engineering,Web developer; Systems administrator; DevOps specialist,Somewhat agree,10 000 or more employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Mobile developer,Agree,10 to 19 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Canada,Online course; Self-taught; Coding competition,Computer science or software engineering,Web developer; Mobile developer; Embedded applications/devices developer; Database administrator; Systems administrator,Disagree,I don't know,Government agency or public school/university,6
White or of European descent,Male,Sweden,Self-taught,Computer science or software engineering,Embedded applications/devices developer; Quality assurance engineer; Other,Somewhat agree,5 000 to 9 999 employees,I prefer not to answer,7
White or of European descent,Male,New Zealand,Bootcamp; Industry certification; On-the-job training; Self-taught; Hackathon,A social science,Web developer; Desktop applications developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,A humanities discipline,Web developer,Disagree,10 to 19 employees,Venture-funded startup,8
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught,Computer science or software engineering,Embedded applications/devices developer; Desktop applications developer,Disagree,1 000 to 4 999 employees,Government agency or public school/university,5
White or of European descent,Male,Germany,On-the-job training; Self-taught; Open source contributions,Management information systems,Web developer; Desktop applications developer; Systems administrator,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Ireland,Online course; Part-time/evening course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,A non-computer-focused engineering discipline,Web developer; Developer with a statistics or mathematics background,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,Online course; Industry certification; Self-taught; Coding competition; Open source contributions,Management information systems,Web developer,Somewhat agree,5 000 to 9 999 employees,Publicly-traded corporation,6
White or of European descent,Male,United States,Online course; Industry certification; On-the-job training; Self-taught,Management information systems,DevOps specialist,Somewhat agree,10 000 or more employees,Publicly-traded corporation,5
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,United States,Industry certification; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer; Database administrator,Somewhat agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,4
White or of European descent,Male,United Kingdom,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Somewhat agree,10 to 19 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United Kingdom,Online course; Bootcamp; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Machine learning specialist; Developer with a statistics or mathematics background,Strongly disagree,10 000 or more employees,Publicly-traded corporation,9
White or of European descent,Male,United Kingdom,Online course; Bootcamp; Self-taught; Coding competition; Hackathon; Open source contributions,A natural science,Web developer; Mobile developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Canada,Bootcamp; On-the-job training; Self-taught,A humanities discipline,Web developer,Disagree,20 to 99 employees,I don't know,8
White or of European descent,Male,Canada,Industry certification; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background,Disagree,Fewer than 10 employees,Privately-held limited company  not in startup mode,7
Hispanic or Latino/Latina,Male,Mexico,Online course; Part-time/evening course; Industry certification; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer; Other,Agree,100 to 499 employees,Sole proprietorship or partnership  not in startup mode,9
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Other,Disagree,I don't know,Government agency or public school/university,9
East Asian; Hispanic or Latino/Latina,Male,Australia,Online course; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Desktop applications developer,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Israel,Self-taught; Open source contributions,Computer science or software engineering,Mobile developer; Graphics programming; Desktop applications developer,Agree,500 to 999 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Female,United States,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Disagree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Australia,Online course; Bootcamp; On-the-job training; Hackathon,Computer science or software engineering,Web developer,Agree,100 to 499 employees,Sole proprietorship or partnership  not in startup mode,2
Black or of African descent,Female,United States,Bootcamp; Self-taught,Computer science or software engineering,Web developer; Mobile developer,Strongly agree,10 000 or more employees,Publicly-traded corporation,6
White or of European descent,Male,United States,On-the-job training; Self-taught,Computer science or software engineering,Mobile developer,Somewhat agree,1 000 to 4 999 employees,Publicly-traded corporation,6
Black or of African descent,Male,United States,Online course; Part-time/evening course; Industry certification; On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Database administrator; DevOps specialist,Somewhat agree,10 000 or more employees,Publicly-traded corporation,7
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer; Desktop applications developer; DevOps specialist,Agree,20 to 99 employees,Venture-funded startup,9
White or of European descent,Male,United States,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Agree,5 000 to 9 999 employees,I don't know,2
Black or of African descent,Male,Jamaica,Self-taught,Something else,Web developer; Desktop applications developer; Database administrator; Systems administrator,Disagree,100 to 499 employees,Publicly-traded corporation,5
White or of European descent,Male,United States,On-the-job training; Self-taught,Computer science or software engineering,Web developer,Agree,Fewer than 10 employees,Pre-series A startup,5
White or of European descent,Male,Canada,Self-taught,Computer programming or Web development,Web developer; DevOps specialist,Disagree,100 to 499 employees,Pre-series A startup,9
White or of European descent,Male,Canada,Online course; Self-taught; Hackathon,Computer science or software engineering,Web developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Australia,Online course; Industry certification; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Database administrator; Systems administrator; DevOps specialist,Disagree,10 to 19 employees,Venture-funded startup,10
East Asian; White or of European descent,Male,United States,Self-taught,A natural science,Web developer; Data scientist; Database administrator; Systems administrator,Disagree,10 to 19 employees,Government agency or public school/university,8
White or of European descent,Male,United States,Online course; Self-taught,Something else,Web developer; Developer with a statistics or mathematics background; Database administrator,Disagree,100 to 499 employees,Venture-funded startup,7
White or of European descent,Male,Canada,Online course; Self-taught,Computer science or software engineering,Web developer; Graphic designer; Systems administrator; DevOps specialist; Quality assurance engineer,Agree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,7
East Asian,Male,Indonesia,Self-taught,Computer science or software engineering,Web developer; Database administrator; Systems administrator; DevOps specialist,Strongly agree,Fewer than 10 employees,Venture-funded startup,10
East Asian,Male,United States,Part-time/evening course; On-the-job training; Self-taught,Computer engineering or electrical/electronics engineering,Web developer; Systems administrator; Quality assurance engineer,Somewhat agree,10 000 or more employees,Government agency or public school/university,9
White or of European descent,Male,Sweden,On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Embedded applications/devices developer; Desktop applications developer,Disagree,1 000 to 4 999 employees,Publicly-traded corporation,7
White or of European descent,Male,Germany,On-the-job training; Self-taught,Computer science or software engineering,Desktop applications developer; DevOps specialist,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Switzerland,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer; DevOps specialist,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,8
Hispanic or Latino/Latina,Male,Spain,Online course; Part-time/evening course; Self-taught; Open source contributions,Computer programming or Web development,Web developer; Mobile developer,Agree,20 to 99 employees,State-owned company,5
White or of European descent,Male,South Africa,Self-taught,Computer science or software engineering,Web developer; Mobile developer; Desktop applications developer,Agree,100 to 499 employees,Publicly-traded corporation,3
White or of European descent,Male,France,Online course; Bootcamp; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Strongly agree,500 to 999 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Greece,Self-taught,Information technology  networking  or system administration,Web developer; Mobile developer; Systems administrator,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,South Africa,Bootcamp; On-the-job training; Self-taught; Open source contributions,Mathematics or statistics,Web developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Netherlands,Self-taught; Open source contributions,Computer programming or Web development,Web developer; Mobile developer; Graphics programming; Graphic designer; Systems administrator,Disagree,Fewer than 10 employees,I don't know,8
South Asian,Male,India,Online course; Industry certification; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer,Somewhat agree,10 000 or more employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,South Africa,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Mobile developer; Graphics programming; Desktop applications developer,Disagree,100 to 499 employees,I don't know,8
White or of European descent,Male,Poland,On-the-job training; Self-taught,Computer science or software engineering,Embedded applications/devices developer; Systems administrator; DevOps specialist; Other,Somewhat agree,10 000 or more employees,Publicly-traded corporation,4
South Asian,Male,India,On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,United Kingdom,Online course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,A natural science,Web developer,Disagree,1 000 to 4 999 employees,Publicly-traded corporation,8
East Asian,Male,India,Online course; On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer,Strongly agree,10 000 or more employees,Privately-held limited company  not in startup mode,4
East Asian; White or of European descent,Male; Other,United States,On-the-job training; Self-taught,Computer programming or Web development,Web developer,Disagree,20 to 99 employees,Non-profit/non-governmental organization or private school/university,10
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer,Agree,10 to 19 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,Malta,Online course; Part-time/evening course; On-the-job training; Self-taught,Computer science or software engineering,Web developer,Agree,10 to 19 employees,Privately-held limited company  not in startup mode,3
South Asian,Male,India,Online course; Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Developer with a statistics or mathematics background,Agree,10 000 or more employees,I prefer not to answer,6
White or of European descent,Male,United Kingdom,Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; DevOps specialist,Agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Italy,On-the-job training; Self-taught,Computer science or software engineering,Web developer,Somewhat agree,10 to 19 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United Kingdom,Self-taught,Computer programming or Web development,Mobile developer,Agree,Fewer than 10 employees,I don't know,7
White or of European descent,Male,South Africa,Online course; Part-time/evening course; Industry certification; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,Poland,Self-taught; Coding competition; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Embedded applications/devices developer,Strongly disagree,100 to 499 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught,Computer programming or Web development,Web developer; Database administrator,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught,Computer science or software engineering,DevOps specialist,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Denmark,Online course; Self-taught; Open source contributions,Computer programming or Web development,Web developer; Database administrator,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,Desktop applications developer; Systems administrator; Quality assurance engineer,Agree,1 000 to 4 999 employees,Non-profit/non-governmental organization or private school/university,8
South Asian,Male,India,Online course; Self-taught,Computer science or software engineering,Mobile developer; Graphic designer,Strongly agree,100 to 499 employees,Pre-series A startup,8
White or of European descent,Male,Iceland,Industry certification; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer; DevOps specialist,Agree,1 000 to 4 999 employees,State-owned company,2
White or of European descent,Male,France,Self-taught,Computer science or software engineering,Developer with a statistics or mathematics background,Disagree,1 000 to 4 999 employees,State-owned company,9
White or of European descent,Male,Belgium,Part-time/evening course; Self-taught; Open source contributions,A humanities discipline,Other,Strongly disagree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,9
White or of European descent,Male,United States,On-the-job training; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Poland,Online course; On-the-job training; Self-taught; Coding competition,Mathematics or statistics,Web developer; Mobile developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Germany,On-the-job training; Self-taught,Computer science or software engineering,Web developer; Mobile developer,Strongly agree,100 to 499 employees,Privately-held limited company  not in startup mode,9
Middle Eastern,Male,Canada,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer,Strongly disagree,20 to 99 employees,Publicly-traded corporation,9
White or of European descent,Male,Ireland,On-the-job training; Self-taught,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition,Mathematics or statistics,Web developer,Strongly disagree,100 to 499 employees,Publicly-traded corporation,8
White or of European descent,Male,Netherlands,On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Desktop applications developer,Agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,6
White or of European descent,Male,United States,Self-taught; Coding competition,Computer science or software engineering,Web developer; Desktop applications developer; Other,Agree,10 000 or more employees,Privately-held limited company  not in startup mode,6
Hispanic or Latino/Latina,Male,Paraguay,Online course; Bootcamp; Part-time/evening course; Industry certification; On-the-job training; Self-taught; Hackathon,Computer programming or Web development,Web developer; Database administrator; DevOps specialist,Disagree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,United States,Self-taught,Computer engineering or electrical/electronics engineering,Desktop applications developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
Middle Eastern,Male,Brazil,Online course; Industry certification; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background,Strongly disagree,10 000 or more employees,Privately-held limited company  not in startup mode,8
Hispanic or Latino/Latina,Male,Costa Rica,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Graphics programming,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Female,United States,Online course; On-the-job training; Self-taught; Open source contributions,Something else,Web developer,Somewhat agree,10 000 or more employees,Government agency or public school/university,7
Black or of African descent; White or of European descent,Male,United States,Online course; Industry certification; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,Somewhat agree,100 to 499 employees,I don't know,9
White or of European descent,Male,Germany,Online course; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Systems administrator; DevOps specialist; Quality assurance engineer,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Bootcamp; Industry certification; On-the-job training; Self-taught; Hackathon; Open source contributions,Psychology,Web developer; Developer with a statistics or mathematics background,Agree,10 to 19 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Germany,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Graphics programming; Desktop applications developer,Disagree,Fewer than 10 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,United States,Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Disagree,20 to 99 employees,Venture-funded startup,3
White or of European descent,Male,Ireland,Self-taught,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Data scientist; Database administrator; Systems administrator,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,Germany,Self-taught; Open source contributions,Computer science or software engineering,Other,Somewhat agree,10 to 19 employees,Government agency or public school/university,8
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition; Open source contributions,A non-computer-focused engineering discipline,Web developer; DevOps specialist,Disagree,10 to 19 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,United States,Industry certification; On-the-job training; Self-taught; Coding competition,Something else,Web developer; Developer with a statistics or mathematics background; DevOps specialist,Somewhat agree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,9
White or of European descent,Male,Uruguay,Online course; Self-taught,Computer programming or Web development,Web developer,Strongly disagree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,United States,Self-taught,A social science,Desktop applications developer,Disagree,10 000 or more employees,Publicly-traded corporation,7
White or of European descent,Male,Canada,Online course; Part-time/evening course; On-the-job training; Self-taught; Coding competition; Hackathon,A natural science,Web developer; Developer with a statistics or mathematics background; Other,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,4
White or of European descent,Male,United States,Online course; Part-time/evening course; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Machine learning specialist; Data scientist,Strongly agree,Fewer than 10 employees,Pre-series A startup,7
White or of European descent,Male,United States,On-the-job training,Computer programming or Web development,Web developer,Disagree,500 to 999 employees,Sole proprietorship or partnership  not in startup mode,3
White or of European descent,Male,United States,Online course; Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Data scientist; Graphic designer; Desktop applications developer; Database administrator; Systems administrator,Agree,1 000 to 4 999 employees,Sole proprietorship or partnership  not in startup mode,8
White or of European descent; I don’t know,Male,France,On-the-job training,Computer science or software engineering,Web developer; Mobile developer; Desktop applications developer; Systems administrator; Quality assurance engineer,Somewhat agree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,New Zealand,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Systems administrator; Quality assurance engineer,Disagree,Fewer than 10 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Online course; Bootcamp; Industry certification; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer,Disagree,500 to 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Self-taught; Open source contributions,Computer science or software engineering,Web developer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,United Kingdom,Industry certification; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Mobile developer; Embedded applications/devices developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; Quality assurance engineer,Disagree,Fewer than 10 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Female,Germany,Self-taught; Coding competition,Computer programming or Web development,Web developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,3
White or of European descent,Male,United States,Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Other,Agree,10 000 or more employees,Publicly-traded corporation,9
Hispanic or Latino/Latina,Male,Mexico,On-the-job training; Self-taught,Computer engineering or electrical/electronics engineering,Desktop applications developer; DevOps specialist,Somewhat agree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Male,United States,Industry certification; On-the-job training; Self-taught; Hackathon; Open source contributions,Fine arts or performing arts,Web developer; Desktop applications developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,Australia,Self-taught; Open source contributions,A humanities discipline,Web developer; DevOps specialist,Somewhat agree,10 to 19 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Switzerland,Online course; On-the-job training; Self-taught; Open source contributions,A natural science,Web developer,Strongly disagree,10 to 19 employees,Pre-series A startup,8
White or of European descent,Male,Germany,Online course; Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer; Systems administrator; Quality assurance engineer; Other,Somewhat agree,10 000 or more employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Strongly disagree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,8
Middle Eastern,Male,Egypt,Online course; Bootcamp; Industry certification; Self-taught; Coding competition; Open source contributions,A non-computer-focused engineering discipline,Mobile developer; Embedded applications/devices developer; Desktop applications developer,Disagree,500 to 999 employees,Non-profit/non-governmental organization or private school/university,6
White or of European descent,Male,Poland,Self-taught; Coding competition,Computer science or software engineering,Web developer,Agree,500 to 999 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Transgender; Gender non-conforming,Poland,Online course; Part-time/evening course; Industry certification; Self-taught; Hackathon,Computer science or software engineering,Systems administrator; DevOps specialist; Quality assurance engineer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Hungary,Bootcamp; Industry certification; On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,DevOps specialist,Somewhat agree,500 to 999 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Hungary,Self-taught,Computer science or software engineering,Web developer,Strongly disagree,10 000 or more employees,Publicly-traded corporation,8
Black or of African descent; White or of European descent,Gender non-conforming,Macau,Online course; Bootcamp; Part-time/evening course; Industry certification; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Psychology,Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Database administrator; Systems administrator; Quality assurance engineer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,10
White or of European descent,Male,United States,Online course; Bootcamp; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Strongly agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Online course; Bootcamp; Part-time/evening course; Industry certification; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Something else,Web developer; Mobile developer; Machine learning specialist; Data scientist; DevOps specialist,Strongly disagree,10 to 19 employees,Privately-held limited company  not in startup mode,10
South Asian,Male,Bangladesh,Online course; Part-time/evening course; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer; DevOps specialist,Disagree,20 to 99 employees,Venture-funded startup,10
White or of European descent,Male,Sweden,Online course; Bootcamp; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer,Strongly disagree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught; Open source contributions,Something else,Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer; Systems administrator; Quality assurance engineer; Other,Disagree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Male,Germany,Online course; Self-taught,Computer science or software engineering,Mobile developer; Embedded applications/devices developer; Desktop applications developer; Systems administrator; DevOps specialist; Other,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Poland,Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Data scientist; Database administrator,Disagree,20 to 99 employees,Something else,8
White or of European descent,Male,United States,Online course; Part-time/evening course; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Other,Somewhat agree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Female,United States,On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Somewhat agree,1 000 to 4 999 employees,Publicly-traded corporation,10
White or of European descent,Male,United States,Industry certification; Self-taught,Computer science or software engineering,Desktop applications developer,Disagree,Fewer than 10 employees,Privately-held limited company  not in startup mode,6
East Asian,Male,Japan,Industry certification; Self-taught; Open source contributions,A social science,Web developer,Somewhat agree,100 to 499 employees,Publicly-traded corporation,7
I prefer not to say,Male,Switzerland,Online course; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Data scientist; Desktop applications developer,Strongly disagree,20 to 99 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Sweden,Part-time/evening course; On-the-job training; Self-taught; Hackathon,Computer engineering or electrical/electronics engineering,Mobile developer; Embedded applications/devices developer,Strongly disagree,10 000 or more employees,Publicly-traded corporation,7
South Asian,Male,India,On-the-job training; Self-taught,Information technology  networking  or system administration,Web developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,South Africa,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,Online course; Part-time/evening course; On-the-job training; Self-taught,A natural science,Web developer,Somewhat agree,100 to 499 employees,I don't know,4
Hispanic or Latino/Latina,Male,Uruguay,Online course; Industry certification; On-the-job training; Self-taught; Hackathon,Computer science or software engineering,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer,Disagree,5 000 to 9 999 employees,Publicly-traded corporation,9
White or of European descent,Male,United States,Self-taught,Computer engineering or electrical/electronics engineering,Web developer; Other,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Online course; Part-time/evening course; On-the-job training; Self-taught; Open source contributions,A natural science,Web developer; Mobile developer; Embedded applications/devices developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer; Other,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Canada,On-the-job training; Self-taught; Coding competition; Hackathon,Computer science or software engineering,Web developer; Mobile developer; DevOps specialist,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United Kingdom,Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Web developer,Strongly agree,100 to 499 employees,Privately-held limited company  not in startup mode,5
South Asian,Female,Canada,Self-taught,Computer science or software engineering,Web developer,Agree,10 000 or more employees,Government agency or public school/university,7
White or of European descent,Male,Brazil,On-the-job training; Self-taught; Coding competition; Hackathon,Computer engineering or electrical/electronics engineering,Embedded applications/devices developer; Graphics programming; Desktop applications developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Male,Canada,On-the-job training; Coding competition,Computer science or software engineering,Web developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,6
White or of European descent,Male,United States,Self-taught,Something else,Web developer; Mobile developer; Embedded applications/devices developer,Disagree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,4
White or of European descent,Male,Australia,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer,Agree,10 to 19 employees,Privately-held limited company  not in startup mode,9
East Asian,Male,Australia,Online course; On-the-job training; Self-taught,A natural science,Web developer,Agree,10 000 or more employees,Non-profit/non-governmental organization or private school/university,10
