Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
I prefer not to say,Male,United States,Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Web developer; Database administrator; DevOps specialist,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,3
Hispanic or Latino/Latina,Male,Mexico,Online course; Part-time/evening course; On-the-job training; Self-taught; Coding competition,Computer science or software engineering,Web developer; Desktop applications developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,7
White or of European descent,Male,United States,Self-taught,Computer engineering or electrical/electronics engineering,Embedded applications/devices developer,Somewhat agree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,8
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition,Computer engineering or electrical/electronics engineering,Web developer; Embedded applications/devices developer; Desktop applications developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; DevOps specialist,Strongly disagree,20 to 99 employees,I don't know,8
White or of European descent,Male,France,On-the-job training; Self-taught,Computer science or software engineering,Web developer; Database administrator,Somewhat agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,2
White or of European descent,Female,Croatia,Part-time/evening course; Industry certification; Self-taught,Computer science or software engineering,Web developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer,Disagree,20 to 99 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,United Kingdom,Self-taught,Computer science or software engineering,Web developer; Database administrator,Agree,10 to 19 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United Kingdom,Part-time/evening course; Industry certification; On-the-job training; Self-taught,Computer programming or Web development,Web developer; Graphic designer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,6
I prefer not to say,Male,Hungary,Online course; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Quality assurance engineer,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,9
South Asian,Male,India,Online course; Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Web developer,Disagree,10 000 or more employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Belarus,Online course; Part-time/evening course; Self-taught; Hackathon,Computer science or software engineering,Web developer; Mobile developer; Data scientist; Desktop applications developer; Database administrator,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United Kingdom,Online course; Part-time/evening course; Self-taught; Hackathon; Open source contributions,Information technology  networking  or system administration,Web developer; Mobile developer,Disagree,1 000 to 4 999 employees,Government agency or public school/university,6
White or of European descent,Female,United States,Self-taught; Hackathon; Open source contributions,A natural science,Developer with a statistics or mathematics background; Desktop applications developer,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Male,United States,Industry certification; On-the-job training; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Somewhat agree,10 000 or more employees,Publicly-traded corporation,7
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Developer with a statistics or mathematics background; Desktop applications developer,Somewhat agree,500 to 999 employees,Publicly-traded corporation,9
White or of European descent,Female,United States,Self-taught; Hackathon,Fine arts or performing arts,Web developer,Somewhat agree,20 to 99 employees,Venture-funded startup,10
White or of European descent,Male,Czech Republic,On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Machine learning specialist; Developer with a statistics or mathematics background,Somewhat agree,Fewer than 10 employees,Pre-series A startup,7
White or of European descent,Male,Netherlands,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer; DevOps specialist,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male; Female,Australia,On-the-job training; Self-taught; Open source contributions,Something else,Mobile developer; Graphics programming; Graphic designer; Desktop applications developer; Systems administrator,Disagree,10 to 19 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United States,Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Database administrator; Systems administrator,Somewhat agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,United States,Online course; Self-taught; Open source contributions,Information technology  networking  or system administration,Web developer; Graphics programming; Developer with a statistics or mathematics background; Desktop applications developer,Disagree,10 000 or more employees,Publicly-traded corporation,8
White or of European descent,Male,United States,Online course; Part-time/evening course; Industry certification; On-the-job training; Self-taught,A business discipline,Web developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Switzerland,On-the-job training; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Embedded applications/devices developer; Machine learning specialist,Disagree,500 to 999 employees,Government agency or public school/university,10
White or of European descent,Male,United Kingdom,Self-taught; Open source contributions,Computer science or software engineering,Web developer; Embedded applications/devices developer; DevOps specialist,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Canada,Online course; Self-taught; Coding competition,Computer science or software engineering,Web developer,Agree,100 to 499 employees,Sole proprietorship or partnership  not in startup mode,8
White or of European descent,Male,Spain,Online course; Part-time/evening course; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Disagree,20 to 99 employees,Venture-funded startup,8
White or of European descent,Male,United States,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Graphic designer,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,8
Hispanic or Latino/Latina,Male,Mexico,Self-taught; Open source contributions,Information technology  networking  or system administration,Web developer,Disagree,Fewer than 10 employees,Sole proprietorship or partnership  not in startup mode,7
White or of European descent,Male,United Kingdom,Online course; Industry certification; On-the-job training; Self-taught; Hackathon; Open source contributions,Mathematics or statistics,Embedded applications/devices developer; Developer with a statistics or mathematics background; Desktop applications developer,Strongly disagree,20 to 99 employees,Venture-funded startup,7
Black or of African descent,Male,Japan,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Database administrator; Systems administrator,Strongly disagree,100 to 499 employees,Publicly-traded corporation,7
White or of European descent,Male,United States,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Other,Disagree,100 to 499 employees,Publicly-traded corporation,7
White or of European descent,Male,Germany,Self-taught,Computer science or software engineering,Mobile developer; Embedded applications/devices developer; Desktop applications developer,Strongly disagree,10 000 or more employees,Publicly-traded corporation,3
East Asian; White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Fine arts or performing arts,Web developer; Desktop applications developer; Other,Disagree,500 to 999 employees,I don't know,7
White or of European descent,Male,United States,Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Mobile developer,Disagree,100 to 499 employees,Venture-funded startup,7
