 id ,CompanySize,CompanyType,CompetePeers,Country,DeveloperType,EducationTypes,ExpectedSalary,Gender,JobSatisfaction,MajorUndergrad,Race,Salary
66,5;000 to 9;999 employees,Publicly-traded corporation,NA,India,Mobile developer; Graphics programming; Desktop applications developer,NA,NA,Male,8,Computer science or software engineering,South Asian,NA
67,10;000 or more employees,Publicly-traded corporation,Disagree,United States,Embedded applications/devices developer,On-the-job training; Self-taught,NA,Male,5,Computer engineering or electrical/electronics engineering,White or of European descent,NA
68,100 to 499 employees,Privately-held limited company; not in startup mode,NA,Italy,Web developer; Systems administrator; DevOps specialist,NA,NA,Male,7,NA,White or of European descent,NA
69,20 to 99 employees,Privately-held limited company; not in startup mode,NA,Spain,Web developer,On-the-job training,NA,nonbinary,8,Computer programming or Web development,NA,30000
70,20 to 99 employees,Privately-held limited company; not in startup mode,NA,United States,Web developer,Self-taught,NA,Male,5,Information technology; networking; or system administration,White or of European descent,65000
71,20 to 99 employees,Privately-held limited company; not in startup mode,Somewhat agree,Finland,Web developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,Self-taught; Hackathon; Open source contributions,NA,Male,6,Computer science or software engineering,White or of European descent,NA
72,100 to 499 employees,Venture-funded startup,Somewhat agree,United States,Web developer,Online course; Bootcamp; Part-time/evening course; On-the-job training; Self-taught; Coding competition; Open source contributions,NA,Male,5,Computer science or software engineering,White or of European descent,120000
73,500 to 999 employees,Privately-held limited company; not in startup mode,Disagree,Austria,DevOps specialist; Other,Online course; On-the-job training; Self-taught; Hackathon; Open source contributions,NA,Male,8,Computer science or software engineering,White or of European descent,NA
74,20 to 99 employees,Privately-held limited company; not in startup mode,NA,Germany,Developer with a statistics or mathematics background,NA,NA,nonbinary,9,Computer engineering or electrical/electronics engineering,NA,NA
75,500 to 999 employees,Privately-held limited company; not in startup mode,Disagree,France,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Desktop applications developer; DevOps specialist,Online course; Part-time/evening course; On-the-job training; Self-taught; Open source contributions,NA,Male,2,Mathematics or statistics,White or of European descent,40000
76,1;000 to 4;999 employees,Government agency or public school/university,Disagree,United States,Web developer,NA,NA,Male,8,Computer engineering or electrical/electronics engineering,White or of European descent,96283
77,20 to 99 employees,I don't know,Disagree,United Kingdom,Web developer; Developer with a statistics or mathematics background,Self-taught; Coding competition; Hackathon,NA,nonbinary,8,Computer science or software engineering,NA,NA
78,20 to 99 employees,I don't know,NA,United Kingdom,Web developer; Mobile developer,NA,NA,nonbinary,8,Computer science or software engineering,NA,NA
79,10 to 19 employees,Privately-held limited company; not in startup mode,Somewhat agree,United States,Web developer; Desktop applications developer; Systems administrator; DevOps specialist,NA,NA,nonbinary,6,Information technology; networking; or system administration,NA,NA
80,NA,NA,Somewhat agree,Israel,Web developer,NA,NA,nonbinary,10,Computer science or software engineering,NA,NA
81,20 to 99 employees,Sole proprietorship or partnership; not in startup mode,NA,United States,Web developer,On-the-job training; Self-taught,NA,Male,6,Computer science or software engineering,White or of European descent,110000
82,10;000 or more employees,Publicly-traded corporation,Strongly disagree,United States,Web developer; Mobile developer; Data scientist; Graphic designer; Desktop applications developer; Quality assurance engineer,NA,NA,Male,8,Fine arts or performing arts,White or of European descent,NA
83,10;000 or more employees,Publicly-traded corporation,Somewhat agree,United States,Web developer,Online course; Bootcamp; Self-taught; Coding competition; Hackathon; Open source contributions,NA,Male,5,Computer science or software engineering,White or of European descent,165000
84,10 to 19 employees,Privately-held limited company; not in startup mode,Disagree,Mexico,Web developer; Mobile developer; Database administrator; Systems administrator,Online course; On-the-job training; Self-taught; Coding competition; Open source contributions,NA,Male,10,Computer science or software engineering,Hispanic or Latino/Latina; Native American; Pacific Islander; or Indigenous Australian,NA
85,10;000 or more employees,Publicly-traded corporation,Somewhat agree,Poland,Embedded applications/devices developer,NA,NA,nonbinary,5,A non-computer-focused engineering discipline,NA,NA
86,100 to 499 employees,Privately-held limited company; not in startup mode,NA,Germany,Mobile developer,Part-time/evening course; Industry certification; On-the-job training; Self-taught; Hackathon; Open source contributions,NA,nonbinary,3,Computer science or software engineering,NA,NA
87,NA,NA,NA,United Kingdom,NA,Self-taught; Coding competition,NA,nonbinary,NA,NA,NA,NA
88,100 to 499 employees,I prefer not to answer,Disagree,Brazil,Web developer,Online course; On-the-job training; Self-taught; Coding competition; Open source contributions,NA,Male,8,Computer science or software engineering,Hispanic or Latino/Latina,NA
89,20 to 99 employees,Venture-funded startup,NA,Brazil,Web developer,Online course; Self-taught; Open source contributions,NA,Male,9,Computer science or software engineering,Hispanic or Latino/Latina,100000
90,10 to 19 employees,Privately-held limited company; not in startup mode,Disagree,Croatia,Web developer,Online course; Self-taught; Open source contributions,NA,Male,6,Computer science or software engineering,White or of European descent,38600
91,NA,NA,Disagree,Germany,Machine learning specialist; Developer with a statistics or mathematics background; Data scientist,On-the-job training; Self-taught; Coding competition; Open source contributions,NA,Male,NA,Computer science or software engineering,White or of European descent,NA
92,10;000 or more employees,Publicly-traded corporation,NA,United States,Web developer; Mobile developer,Self-taught,NA,nonbinary,8,Computer science or software engineering,NA,NA
93,20 to 99 employees,State-owned company,Agree,Poland,Web developer,On-the-job training; Self-taught; Coding competition,NA,Male,6,Computer science or software engineering,White or of European descent,NA
94,NA,NA,Agree,India,Web developer; Desktop applications developer; Database administrator,NA,NA,Male,NA,NA,I don’t know,NA
95,5;000 to 9;999 employees,Privately-held limited company; not in startup mode,NA,Germany,Web developer,On-the-job training; Self-taught; Hackathon; Open source contributions,NA,Male,7,Management information systems,White or of European descent,50000
96,10 to 19 employees,Government agency or public school/university,Somewhat agree,United States,Web developer; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist; Quality assurance engineer,Online course; On-the-job training; Self-taught,NA,Male,6,Computer science or software engineering,White or of European descent,NA
97,100 to 499 employees,I don't know,NA,Turkey,Web developer,Industry certification; Self-taught,NA,Male,8,Computer science or software engineering,White or of European descent,20000
98,NA,NA,Somewhat agree,United States,NA,Online course; Self-taught,NA,nonbinary,NA,A natural science,NA,NA
99,20 to 99 employees,Privately-held limited company; not in startup mode,NA,United States,Mobile developer; Desktop applications developer,Self-taught; Open source contributions,NA,Male,8,Computer science or software engineering,White or of European descent,109400
100,NA,NA,Somewhat agree,Russian Federation,Developer with a statistics or mathematics background,NA,NA,nonbinary,NA,NA,I prefer not to say,NA
101,NA,NA,NA,Turkey,NA,NA,NA,nonbinary,NA,A business discipline,NA,NA
